ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263367,1275,-102,-18.25,402,39.7413017631661,43.6172469354358,3.812437,0.14642,2578,1700,5,0.02
239310,61263367,1275,-102,-19,402,39.7222420505252,43.6078068637574,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-19.5,402,39.7197424160805,43.6136507176536,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-19.5,402,39.7203673246916,43.604660173198,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-19.5,402,39.7206797789972,43.6066830457005,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-19.5,402,39.7313032253873,43.6224164984978,0.000064,0.00004,536,\N,2,0.01
239310,61263367,1275,-102,-19.5,402,39.7447387605276,43.61792122627,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102.08,-16.8,402,39.7406768545549,43.6165726446017,0.173325,0.046271,2514,322,4,1.20
239310,61263367,1275,-102.08,-16.89,402,39.7403644002493,43.6174716990472,0.235044,0.03661,3223,692,4,0.52
239310,61263367,1275,-102.11,-16.06,402,39.7213046876084,43.6118526087625,0.000112,0.000053,\N,75,7,0.09
239310,61263367,1275,-102.12,-15.31,402,39.7397394916382,43.6172469354358,0.00085,0.001081,\N,540,7,0.08
239310,61263367,1275,-102.17,-15.65,402,39.7425515803885,43.6183707534928,0.47202,0.384406,7294,509,6,3.20
239310,61263367,1275,-102.2,-16.57,402,39.7394270373326,43.6156735901561,0.211011,0.029601,4785,408,5,0.15
239310,61263367,1275,-102.22,-16.06,402,39.7222420505252,43.6118526087625,0.000397,0.000261,\N,124,6,0.09
239310,61263367,1275,-102.25,-15.75,402,39.7384896744158,43.6158983537675,0.026005,0.006131,6324,271,6,0.04
239310,61263367,1275,-102.33,-16.5,402,39.7434889433052,43.6188202807155,0.068963,0.012159,3913,620,4,0.06
239310,61263367,1275,-102.33,-17.67,402,39.721617141914,43.6069078093119,0.000011,0.000002,\N,8,3,0.03
239310,61263367,1275,-102.33,-18.33,402,39.7219295962196,43.6075821001461,0.057734,0.071785,1487,1537,4,0.06
239310,61263367,1275,-102.44,-17.4,402,39.7409893088605,43.6183707534928,0.360184,0.11176,3198,542,4,0.25
239310,61263367,1275,-102.5,-12,402,39.7478633035835,43.6197193351611,0.000209,0.000062,\N,260,6,0.02
239310,61263367,1275,-102.5,-14.5,402,39.7388021287214,43.6163478809902,0.000011,0.000002,\N,3,6,0.02
239310,61263367,1275,-102.5,-14.88,402,39.7366149485823,43.6170221718244,0.001863,0.002914,1328,139,6,0.04
239310,61263367,1275,-102.5,-15.38,402,39.7400519459438,43.6183707534928,0.000023,0.000004,\N,4,5,0.04
239310,61263367,1275,-102.5,-16.75,402,39.7456761234444,43.6197193351611,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102.5,-17.5,402,39.7297409538593,43.6199440987725,0.018089,0.015507,2504,1340,4,0.02
239310,61263367,1275,-102.5,-17.5,402,39.7453636691388,43.6201688623839,0.006074,0.003895,1820,1556,3,0.02
239310,61263367,1275,-102.5,-18.25,402,39.7209922333028,43.6123021359852,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102.5,-18.5,402,39.7288035909426,43.6147745357105,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102.5,-19.5,402,39.7213046876084,43.6073573365347,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102.57,-15.86,402,39.7366149485823,43.6161231173789,0.003261,0.028955,7141,436,6,0.07
239310,61263367,1275,-102.6,-16.2,402,39.7388021287214,43.6149992993219,0.00109,0.000185,1211,42,6,0.05
239310,61263367,1275,-102.62,-16.22,402,39.7397394916382,43.6152240629333,0.036476,0.020083,1840,364,4,0.16
239310,61263367,1275,-102.67,-15.83,402,39.7434889433052,43.621966971275,0.000011,0.000002,\N,16,4,0.03
239310,61263367,1275,-102.67,-17.67,402,39.739114583027,43.6152240629333,0.000011,0.000002,\N,2,3,0.03
239310,61263367,1275,-102.68,-16.21,402,39.7406768545549,43.6181459898814,0.00042,0.000509,3040,34,5,0.19
239310,61263367,1275,-102.7,-18.7,402,39.7213046876084,43.6091554454258,0.005017,0.009079,2702,742,1,0.27
239310,61263367,1275,-102.74,-15.29,402,39.7378647658046,43.6163478809902,0.11297,0.043891,7377,574,7,0.19
239310,61263367,1275,-102.75,-17,402,39.7450512148332,43.6199440987725,0.099895,0.033393,4322,1277,6,0.04
239310,61263367,1275,-102.75,-17.75,402,39.7288035909426,43.6174716990472,0.000446,0.002673,1872,0,4,0.04
239310,61263367,1275,-102.76,-15.89,402,39.7422391260829,43.61792122627,0.301969,0.042639,5942,423,6,0.37
239310,61263367,1275,-102.78,-15.56,402,39.7228669591364,43.6111783179283,0.015623,0.056365,5926,2,6,0.09
239310,61263367,1275,-102.78,-16.07,402,39.7397394916382,43.6154488265447,0.031404,0.004895,5231,621,5,0.23
239310,61263367,1275,-102.79,-17.39,402,39.7413017631661,43.6185955171042,0.008104,0.007858,2547,914,4,0.14
239310,61263367,1275,-102.9,-18.5,402,39.728491136637,43.6149992993219,0.001224,0.000853,1078,106,4,0.10
239310,61263367,1275,-102.99,-16.1,402,39.7400519459438,43.6165726446017,10.480794,1.39839,3372,536,6,2.17
239310,61263367,1275,-103,-14,402,39.7344277684432,43.6143250084878,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-14,402,39.7353651313599,43.6149992993219,0,0,\N,0,3,0.01
239310,61263367,1275,-103,-14,402,39.7384896744158,43.6125268995966,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-14.5,402,39.74598857775,43.6199440987725,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-15,402,39.7291160452481,43.6176964626586,0,0,\N,\N,7,0.01
239310,61263367,1275,-103,-15,402,39.7447387605276,43.6197193351611,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-15.33,402,39.7381772201102,43.6149992993219,0.000011,0.000002,\N,2,4,0.03
239310,61263367,1275,-103,-15.5,402,39.7184925988581,43.6129764268194,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-15.5,402,39.7409893088605,43.6134259540422,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-16,402,39.7363024942767,43.6143250084878,0.000254,0.000082,\N,115,4,0.01
239310,61263367,1275,-103,-16,402,39.7394270373326,43.6147745357105,0.348876,0.005814,3154,\N,6,0.01
239310,61263367,1275,-103,-16,402,39.7428640346941,43.6111783179283,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-16,402,39.744426306222,43.6215174440522,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-16.25,402,39.7388021287214,43.6152240629333,0.000831,0.001344,3484,918,4,0.02
239310,61263367,1275,-103,-16.5,402,39.7409893088605,43.6152240629333,\N,\N,\N,\N,\N,0.01
